Año,Mes,Producto,Export FOB (miles),Toneladas
2002,3,Cacao,4116.047,2913.87
2002,3,Café Industrializado,112.992,27.400000000000002
2002,3,Café Natural,57.055,143.865
2002,3,Camarones,19300.772,3024.466
2002,3,Elaborados De Cacao,320.315,165.712
2002,3,Pescado,3377.625,968.186
2002,3,Plátano,1644.861,6716.833
2002,4,Atún,2838.53,732.884
2002,4,Banano,19382.558,87110.843
2002,4,Cacao,6346.384,4507.08
2002,4,Café Industrializado,66.527,14.14
2002,4,Café Natural,53.224,103.5
2002,4,Camarones,16937.156000000003,2801.34
2002,4,Elaborados De Cacao,393.026,178.609
2002,4,Pescado,2823.628,822.5790000000001
2002,4,Plátano,1666.137,6807.258
2002,5,Atún,3377.3819999999996,750.266
2002,5,Banano,25580.928,113545.86300000001
2002,5,Cacao,2704.452,1815.918
2002,5,Café Industrializado,0.18,0.01
2002,5,Café Natural,37.259,103.5
2002,5,Camarones,20395.800000000003,3455.8430000000003
2002,5,Elaborados De Cacao,179.103,88.5
2002,5,Pescado,1973.4319999999998,509.18999999999994
2002,5,Plátano,1904.287,7842.921
2002,6,Atún,3230.059,728.318
2002,6,Banano,22675.932,101188.196
2002,6,Cacao,1857.77,1321.599
2002,6,Café Industrializado,104.852,13.574
2002,6,Café Natural,6.552,17.25
2002,6,Camarones,18732.091,3459.972
2002,6,Elaborados De Cacao,16.966,8.209
2002,6,Pescado,2113.233,575.721
2002,6,Plátano,1428.979,5843.438
2002,7,Atún,2974.715,667.903
2002,7,Banano,22224.545,98041.598
2002,7,Cacao,1620.615,1050.525
2002,7,Café Industrializado,170.96800000000002,27.661
2002,7,Café Natural,118.804,224.25
2002,7,Camarones,12443.234,2344.514
2002,7,Elaborados De Cacao,515.667,240.54100000000003
2002,7,Pescado,1968.7659999999998,694.856
2002,7,Plátano,1259.839,5150.637
2002,8,Atún,3427.857,764.414
2002,8,Banano,18328.834,80972.624
2002,8,Cacao,2140.593,1271.121
2002,8,Café Industrializado,64.234,13.55
2002,8,Café Natural,475.096,769.35
2002,8,Camarones,9835.75,1712.403
2002,8,Elaborados De Cacao,256.248,112.0
2002,8,Pescado,1726.433,635.313
2002,8,Plátano,1121.274,4579.669
2002,9,Atún,3552.771,784.6089999999999
2002,9,Banano,16754.144,74207.117
2002,9,Cacao,1807.412,945.507
2002,9,Café Industrializado,12.398,11.969
2002,9,Café Natural,1416.266,1855.035
2002,9,Camarones,7898.24,1390.4180000000001
2002,9,Elaborados De Cacao,729.871,270.545
2002,9,Pescado,1581.182,489.14900000000006
2002,9,Plátano,1082.013,4408.242
2002,10,Atún,3681.615,819.894
2002,10,Banano,15944.751,68974.516
2002,10,Cacao,1851.709,910.386
2002,10,Café Industrializado,60.402,25.450000000000003
2002,10,Café Natural,1262.179,1735.845
2002,10,Camarones,10667.077,1901.166
2002,10,Elaborados De Cacao,604.943,211.66
2002,10,Pescado,1442.815,447.289
2002,10,Plátano,1365.472,5434.724
2002,11,Atún,3368.378,736.356
2002,11,Banano,16516.085,70796.40000000001
2002,11,Cacao,1905.577,1105.518
2002,11,Café Industrializado,66.538,23.329
2002,11,Café Natural,1188.26,1326.525
2002,11,Camarones,10628.37,1791.261
2002,11,Elaborados De Cacao,302.82300000000004,131.14000000000001
2002,11,Pescado,1213.107,317.939
2002,11,Plátano,988.782,3894.273
2002,12,Atún,3704.609,805.688
2002,12,Banano,20386.8,87157.05600000001
2002,12,Cacao,1967.097,1100.55
2002,12,Café Industrializado,224.023,43.862
2002,12,Café Natural,351.614,384.678
2002,12,Camarones,12012.014999999998,2184.4790000000003
2002,12,Elaborados De Cacao,437.791,171.225
2002,12,Pescado,2753.1530000000002,820.4309999999999
2002,12,Plátano,1132.867,4467.525
2003,1,Atún,4570.491,1054.298
2003,1,Banano,18540.415999999997,76741.494
2003,1,Cacao,3820.613,1843.587
2003,1,Café Industrializado,6.766,5.849
2003,1,Café Natural,51.453,75.9
2003,1,Camarones,14288.151,2470.464
2003,1,Elaborados De Cacao,888.367,190.404
2003,1,Pescado,4521.305,1197.395
2003,1,Plátano,1238.014,5052.062
2003,2,Atún,4555.522,1014.249
2003,2,Banano,22105.718999999997,91594.78
2003,2,Cacao,4824.461,2211.036
2003,2,Café Industrializado,24.518,11.427
2003,2,Café Natural,102.889,138.0
2003,2,Camarones,16736.487,2788.6110000000003
2003,2,Elaborados De Cacao,2760.9770000000003,970.06
2003,2,Pescado,4795.32,1325.695
2003,2,Plátano,1717.825,8039.18
2003,3,Atún,5594.374000000001,1220.644
2003,3,Banano,22053.812,92123.90100000001
2003,3,Cacao,3579.096,1848.096
2003,3,Café Industrializado,0.219,0.234
2003,3,Café Natural,345.852,500.25
2003,3,Camarones,17779.981,2966.015
2003,3,Elaborados De Cacao,992.567,356.83
2003,3,Pescado,4663.259,1251.856
2003,3,Plátano,1411.555,5725.827
2003,4,Atún,5099.454,1092.975
2003,4,Banano,22569.122,99038.537
2003,4,Cacao,3924.247,2156.181
2003,4,Café Industrializado,19.898,28.056
2003,4,Café Natural,41.877,69.0
2003,4,Camarones,20760.902000000002,3470.029
2003,4,Elaborados De Cacao,630.973,238.415
2003,4,Pescado,3372.207,874.861
2003,4,Plátano,1412.245,5740.098
2003,5,Atún,6383.871999999999,1274.958
2003,5,Banano,22058.679,91358.532
2003,5,Cacao,2810.133,1566.024
2003,5,Café Industrializado,341.09400000000005,55.194
2003,5,Camarones,24402.377,4257.423
2003,5,Elaborados De Cacao,368.318,135.46
2003,5,Pescado,2165.233,521.559
2003,5,Plátano,1618.945,6571.089
2003,6,Atún,5671.789000000001,1117.229
2003,6,Banano,20869.612,86701.73300000001
2003,6,Cacao,2258.615,1530.903
2003,6,Café Industrializado,206.737,63.658
2003,6,Café Natural,237.695,419.589
2003,6,Camarones,19061.9,3432.4689999999996
2003,6,Elaborados De Cacao,759.418,396.6
2003,6,Pescado,1769.8899999999999,520.093
2003,6,Plátano,1268.589,5231.199
2003,7,Atún,6137.091,1241.309
2003,7,Banano,19617.378,81050.71900000001
2003,7,Cacao,2153.141,1420.779
2003,7,Café Industrializado,187.332,54.591
2003,7,Café Natural,654.588,780.19
2003,7,Camarones,16543.325,2914.58
2003,7,Elaborados De Cacao,1846.604,801.277
2003,7,Pescado,1544.796,419.496
2003,7,Plátano,1474.17,6031.046
2003,8,Atún,5250.49,1081.612
2003,8,Banano,18362.017,76447.26800000001
2003,8,Cacao,2068.993,1475.772
2003,8,Café Industrializado,337.426,46.319
2003,8,Café Natural,1236.157,1421.4
2003,8,Camarones,12115.175000000001,2064.161
2003,8,Elaborados De Cacao,1168.9080000000001,538.6
2003,8,Pescado,1717.4769999999999,503.728
2003,8,Plátano,1144.31,4633.931
2003,9,Atún,4981.658,1024.4769999999999
2003,9,Banano,17928.169,72306.213
2003,9,Cacao,2708.607,1685.877
2003,9,Café Industrializado,39.799,16.009999999999998
2003,9,Café Natural,1571.674,1680.702
2003,9,Camarones,11204.712,1874.98
2003,9,Elaborados De Cacao,1072.585,381.037
2003,9,Pescado,1660.891,423.44
2003,9,Plátano,992.582,4059.021
2003,10,Atún,3427.7200000000003,708.869
2003,10,Banano,14499.751,54979.204
2003,10,Cacao,2897.701,2011.074
2003,10,Café Industrializado,6.029999999999999,2.076
2003,10,Café Natural,827.05,986.451
2003,10,Camarones,9604.357,1725.2960000000003
2003,10,Elaborados De Cacao,1270.66,460.0
2003,10,Pescado,1188.909,360.915
2003,10,Plátano,1035.975,4237.363
2003,11,Atún,1706.085,365.80600000000004
2003,11,Banano,15212.891000000001,61712.144
2003,11,Cacao,4774.625,3291.897
2003,11,Café Industrializado,7.602,1.658
2003,11,Café Natural,469.906,570.078
2003,11,Camarones,9639.185,1786.055
2003,11,Elaborados De Cacao,1793.393,796.86
2003,11,Pescado,1747.852,410.942
2003,11,Plátano,1073.531,4399.218
2003,12,Atún,2133.38,406.229
2003,12,Banano,12055.458999999999,54525.06
2003,12,Cacao,5786.078,3847.44
2003,12,Café Industrializado,98.876,30.613
2003,12,Café Natural,398.71,436.839
2003,12,Camarones,16146.151,3094.078
2003,12,Elaborados De Cacao,1318.837,607.145
2003,12,Pescado,2248.309,568.408
2003,12,Plátano,1596.306,6519.076
2004,1,Atún,2273.1789999999996,430.728
2004,1,Banano,21587.707000000002,99645.511
2004,1,Cacao,5435.665,3447.876
2004,1,Café Industrializado,5.577,1.443
2004,1,Café Natural,330.411,342.171
2004,1,Camarones,15320.355000000001,3046.337
2004,1,Elaborados De Cacao,1482.472,636.0
2004,1,Pescado,4738.116,1192.966
2004,1,Plátano,1733.974,7061.941
2004,2,Atún,2807.2129999999997,552.162
2004,2,Banano,17747.823,80735.237
2004,2,Cacao,2885.809,1940.243
2004,2,Café Industrializado,103.278,43.161
2004,2,Café Natural,540.674,747.845
2004,2,Camarones,22337.772,4454.504
2004,2,Elaborados De Cacao,567.054,249.29500000000002
2004,2,Pescado,4032.024,1258.2759999999998
2004,2,Plátano,1488.472,6088.161
2004,3,Atún,4345.757,1712.002
2004,3,Banano,14299.299,62785.931
2004,3,Cacao,4000.845,2874.556
2004,3,Café Industrializado,203.443,68.081
2004,3,Café Natural,491.658,603.635
2004,3,Camarones,18463.296000000002,3775.607
2004,3,Elaborados De Cacao,1024.345,402.83
2004,3,Pescado,3055.944,1353.345
2004,3,Plátano,1685.603,6932.64
2004,4,Atún,4423.724999999999,920.533
2004,4,Banano,20603.826999999997,90988.632
2004,4,Cacao,5558.08,4141.518
2004,4,Café Industrializado,758.4399999999999,110.961
2004,4,Café Natural,82.233,116.564
2004,4,Camarones,21478.51,4211.911999999999
2004,4,Elaborados De Cacao,994.169,456.685
2004,4,Pescado,2340.3940000000002,795.279
2004,4,Plátano,1969.251,7864.881
2004,5,Atún,4015.072,762.2579999999999
2004,5,Banano,16105.299,70151.726
2004,5,Cacao,3690.234,2812.371
2004,5,Café Industrializado,79.45700000000001,16.805999999999997
2004,5,Café Natural,91.558,153.28
2004,5,Camarones,11820.38,2349.203
2004,5,Elaborados De Cacao,2160.48,892.121
2004,5,Otros Alimenticios,0.008,0.07
2004,5,Pescado,1667.3740000000003,815.55
2004,5,Plátano,1490.389,5991.282
2004,6,Atún,3098.31,604.5939999999999
2004,6,Banano,20074.361,90210.582
2004,6,Cacao,2192.599,1721.155
2004,6,Café Industrializado,439.526,142.24200000000002
2004,6,Café Natural,216.305,249.228
2004,6,Camarones,15337.033,2882.7670000000003
2004,6,Elaborados De Cacao,1257.5439999999999,549.1750000000001
2004,6,Pescado,1420.263,643.341
2004,6,Plátano,1300.781,5178.611
2004,7,Atún,3377.591,658.4499999999999
2004,7,Banano,22165.232,99548.99799999999
2004,7,Cacao,2224.526,1660.83
2004,7,Café Industrializado,684.013,161.117
2004,7,Café Natural,593.328,556.554
2004,7,Camarones,22302.542,4144.035000000001
2004,7,Elaborados De Cacao,756.245,310.966
2004,7,Pescado,1242.512,388.101
2004,7,Plátano,1440.983,5750.713
2004,8,Atún,3321.3089999999997,657.534
2004,8,Banano,15746.814,70068.346
2004,8,Cacao,3122.147,1980.99
2004,8,Café Industrializado,295.755,90.588
2004,8,Café Natural,1573.729,1473.84
2004,8,Camarones,10978.404,1961.4009999999998
2004,8,Elaborados De Cacao,975.0930000000001,353.734
2004,8,Pescado,1497.658,622.016
2004,8,Plátano,1502.545,6051.987
2004,9,Atún,3427.5080000000003,658.8480000000001
2004,9,Banano,15746.503999999999,69732.588
2004,9,Cacao,2768.442,1833.713
2004,9,Café Industrializado,494.941,191.531
2004,9,Café Natural,1454.838,1348.881
2004,9,Camarones,9228.938,1582.471
2004,9,Elaborados De Cacao,1200.739,326.537
2004,9,Pescado,1227.26,342.33899999999994
2004,9,Plátano,1484.988,5894.779
2004,10,Atún,2729.729,849.5640000000001
2004,10,Banano,14502.587,63300.61
2004,10,Cacao,1754.791,1280.64
2004,10,Café Industrializado,62.638,37.162
2004,10,Café Natural,1264.331,1261.665
2004,10,Camarones,11029.773000000001,2004.182
2004,10,Elaborados De Cacao,1135.9579999999999,328.455
2004,10,Pescado,1062.684,274.909
2004,10,Plátano,1419.797,5697.015
2004,11,Atún,2051.681,401.61
2004,11,Banano,15595.036,69468.936
2004,11,Cacao,2116.069,1555.812
2004,11,Café Industrializado,38.989000000000004,19.132
2004,11,Café Natural,950.352,777.354
2004,11,Camarones,11845.175,2091.2090000000003
2004,11,Elaborados De Cacao,1271.683,443.917
2004,11,Pescado,2012.898,420.45
2004,11,Plátano,1070.134,4307.157
2004,12,Atún,1545.107,288.294
2004,12,Banano,15972.878999999999,70957.95800000001
2004,12,Cacao,3188.68,2121.543
2004,12,Café Industrializado,52.967,45.44
2004,12,Café Natural,1207.182,961.377
2004,12,Camarones,17889.14,3444.286
2004,12,Elaborados De Cacao,1571.893,468.607
2004,12,Pescado,3867.107,933.234
2004,12,Plátano,1900.995,7446.821
2005,1,Atún,4228.355,881.626
2005,1,Banano,17681.641,79419.52
2005,1,Cacao,1700.159,1219.381
2005,1,Café Industrializado,60.59,40.982
2005,1,Café Natural,838.282,479.914
2005,1,Camarones,15419.558,2932.096
2005,1,Elaborados De Cacao,671.294,248.477
2005,1,Pescado,7713.511,1871.7040000000002
2005,1,Plátano,1707.982,6841.512
2005,2,Atún,3980.965,826.908
2005,2,Banano,20106.402000000002,91930.908
2005,2,Cacao,1929.985,1305.963
2005,2,Café Industrializado,106.095,46.296
2005,2,Café Natural,547.442,508.76
2005,2,Camarones,20973.200999999997,3957.563
2005,2,Elaborados De Cacao,929.199,300.634
2005,2,Pescado,6932.313999999999,1843.235
2005,2,Plátano,1849.36,7587.934
2005,3,Atún,4666.594,936.44
2005,3,Banano,17373.475000000002,77964.914
2005,3,Cacao,6371.997,3822.048
2005,3,Café Industrializado,1114.02,91.85300000000001
2005,3,Café Natural,430.32,215.28
2005,3,Camarones,21844.345,4161.4619999999995
2005,3,Elaborados De Cacao,2266.158,689.157
2005,3,Pescado,4648.553,1297.166
2005,3,Plátano,2591.734,10516.261
2005,4,Atún,4114.76,819.254
2005,4,Banano,18404.286,83710.956
2005,4,Cacao,6705.813,4491.22
2005,4,Café Industrializado,203.95999999999998,38.445
2005,4,Café Natural,103.095,118.5
2005,4,Camarones,19256.341,3721.557
2005,4,Elaborados De Cacao,2176.054,645.431
2005,4,Pescado,3331.66,759.478
2005,4,Plátano,1729.294,6903.717
2005,5,Atún,4194.857,837.5880000000001
2005,5,Banano,18858.12,82017.129
2005,5,Cacao,4691.089,3331.803
2005,5,Café Industrializado,130.494,66.96300000000001
2005,5,Camarones,21962.126,4382.429
2005,5,Elaborados De Cacao,1355.2599999999998,404.08099999999996
2005,5,Pescado,2111.294,502.899
2005,5,Plátano,1566.732,6275.784
2005,6,Atún,4915.041,963.598
2005,6,Banano,19475.949,81632.702
2005,6,Cacao,3440.0820000000003,2505.942
2005,6,Café Industrializado,256.977,57.22
2005,6,Café Natural,42.309,18.975
2005,6,Camarones,23763.904000000002,4813.853999999999
2005,6,Elaborados De Cacao,390.327,257.154
2005,6,Pescado,1261.26,421.53700000000003
2005,6,Plátano,1429.922,5597.353
2005,7,Atún,4968.927000000001,972.5649999999999
2005,7,Banano,19931.540999999997,86798.978
2005,7,Cacao,3029.809,2186.472
2005,7,Café Industrializado,205.421,30.36
2005,7,Camarones,21688.137000000002,4190.138
2005,7,Elaborados De Cacao,189.124,144.407
2005,7,Pescado,2269.611,522.893
2005,7,Plátano,1213.516,4772.436
2005,8,Atún,4954.683,997.299
2005,8,Banano,17208.697,74610.955
2005,8,Cacao,3470.319,2581.014
2005,8,Café Industrializado,129.614,28.59
2005,8,Café Natural,663.435,379.5
2005,8,Camarones,15681.246000000001,2964.763
2005,8,Elaborados De Cacao,229.111,63.749
2005,8,Pescado,1572.0110000000002,480.91499999999996
2005,8,Plátano,1489.485,5791.516
2005,9,Atún,4401.418000000001,873.068
2005,9,Banano,21348.246000000003,85562.54699999999
2005,9,Cacao,3315.314,2471.166
2005,9,Café Industrializado,8.196,4.989
2005,9,Café Lavado,195.592,207.0
2005,9,Café Natural,778.003,474.215
2005,9,Camarones,14428.971000000001,2880.938
2005,9,Elaborados De Cacao,73.44099999999999,20.564
2005,9,Pescado,1672.355,487.312
2005,9,Plátano,1542.641,5949.946
2005,10,Atún,4000.1310000000003,793.394
2005,10,Banano,16065.442,65917.831
2005,10,Cacao,2640.4990000000003,2039.916
2005,10,Café Industrializado,2.51,2.427
2005,10,Café Lavado,165.792,207.0
2005,10,Café Natural,940.725,584.45
2005,10,Camarones,15351.851,2794.9109999999996
2005,10,Elaborados De Cacao,192.822,87.166
2005,10,Pescado,2083.669,568.566
2005,10,Plátano,1394.499,5322.979
2005,11,Atún,3848.942,743.719
2005,11,Banano,18530.133,76110.035
2005,11,Cacao,3797.0789999999997,2977.023
2005,11,Café Industrializado,477.257,154.002
2005,11,Café Lavado,441.233,246.675
2005,11,Café Natural,533.059,303.6
2005,11,Camarones,21258.825,4058.07
2005,11,Elaborados De Cacao,647.882,183.254
2005,11,Pescado,2001.7140000000002,499.91299999999995
2005,11,Plátano,1606.394,5916.782
2005,12,Atún,4331.237,826.185
2005,12,Banano,24481.316,89133.712
2005,12,Cacao,2944.898,2181.935
2005,12,Café Industrializado,164.1,139.258
2005,12,Café Lavado,750.556,434.7
2005,12,Camarones,23219.206000000002,4621.822
2005,12,Elaborados De Cacao,301.40999999999997,162.942
2005,12,Pescado,3832.429,1151.124
2005,12,Plátano,1714.796,6046.76
2006,1,Atún,4788.030000000001,921.229
2006,1,Banano,28975.204,80525.284
2006,1,Cacao,3509.495,2436.321
2006,1,Café Industrializado,10.539,13.338
2006,1,Café Lavado,1031.856,483.016
2006,1,Camarones,21432.756999999998,4232.834
2006,1,Elaborados De Cacao,93.022,45.208
2006,1,Pescado,6070.575,1678.653
2006,1,Plátano,4267.097,4883.136
2006,2,Atún,4134.858,789.473
2006,2,Banano,35894.362,93797.258
2006,2,Cacao,2890.012,2026.118
2006,2,Café Industrializado,30.671999999999997,18.004
2006,2,Café Lavado,439.693,192.395
2006,2,Camarones,25863.412,4993.907
2006,2,Elaborados De Cacao,577.042,181.888
2006,2,Pescado,6587.159,1645.644
2006,2,Plátano,4300.733,5573.936
2006,3,Atún,5358.542,1014.924
2006,3,Banano,28650.326,101516.88200000001
2006,3,Cacao,4773.055,3454.14
2006,3,Café Industrializado,40.275999999999996,28.42
2006,3,Café Lavado,263.144,132.825
2006,3,Camarones,34961.632,6536.06
2006,3,Elaborados De Cacao,31.761,13.809000000000001
2006,3,Pescado,5808.479,1414.744
2006,3,Plátano,2060.828,7675.451
2006,4,Atún,5234.293000000001,953.67
2006,4,Banano,26222.403000000002,92780.21
2006,4,Cacao,4358.076,3106.518
2006,4,Café Industrializado,96.328,50.663999999999994
2006,4,Café Lavado,476.601,246.675
2006,4,Camarones,28498.55,5394.6410000000005
2006,4,Elaborados De Cacao,268.598,143.182
2006,4,Pescado,3977.696,1086.676
2006,4,Plátano,1766.211,6787.82
2006,5,Atún,4912.965,944.77
2006,5,Banano,23407.479000000003,95395.255
2006,5,Cacao,1716.565,1205.637
2006,5,Café Industrializado,14.940000000000001,6.352
2006,5,Café Lavado,800.456,401.695
2006,5,Camarones,24040.03,4653.451999999999
2006,5,Elaborados De Cacao,263.522,94.18900000000001
2006,5,Pescado,3859.051,884.295
2006,5,Plátano,1771.839,6789.311
2006,6,Atún,4454.036,853.3729999999999
2006,6,Banano,25967.097,107951.99
2006,6,Cacao,1495.532,1080.609
2006,6,Café Industrializado,12.411,8.936
2006,6,Café Lavado,352.965,212.562
2006,6,Camarones,23125.155,4713.811
2006,6,Elaborados De Cacao,0.459,0.48
2006,6,Pescado,1974.7109999999998,510.553
2006,6,Plátano,2166.457,8272.509
2006,7,Atún,4623.635,1064.943
2006,7,Banano,18477.652000000002,77131.00200000001
2006,7,Cacao,1388.995,930.603
2006,7,Café Industrializado,94.298,49.614000000000004
2006,7,Café Lavado,581.39,342.755
2006,7,Camarones,20478.578,3925.2
2006,7,Elaborados De Cacao,10.765,13.299
2006,7,Pescado,2600.127,594.873
2006,7,Plátano,1235.558,4890.113
2006,8,Atún,4881.42,939.249
2006,8,Banano,19929.785,82092.809
2006,8,Cacao,1663.95,1090.683
2006,8,Café Industrializado,5.198,4.429
2006,8,Café Lavado,1761.22,910.8
2006,8,Camarones,23160.522999999997,4291.462999999999
2006,8,Elaborados De Cacao,89.55199999999999,51.997
2006,8,Pescado,1967.5439999999999,579.653
2006,8,Plátano,1307.474,4803.821
2006,9,Atún,5098.735,1054.427
2006,9,Banano,23114.527000000002,95647.087
2006,9,Cacao,2215.259,1511.1
2006,9,Café Industrializado,85.881,49.258
2006,9,Café Lavado,2143.018,1089.063
2006,9,Camarones,17072.173000000003,3323.311
2006,9,Elaborados De Cacao,20.511,16.404
2006,9,Pescado,2577.846,578.566
2006,9,Plátano,1823.495,6480.367
2006,10,Atún,4396.304,914.991
2006,10,Banano,18647.641,73721.12299999999
2006,10,Cacao,1722.265,1068.12
2006,10,Café Industrializado,162.65,40.711999999999996
